date,value
2022-04-30,3837.3430526315783
2022-05-31,3691.774090909092
2022-06-30,3587.6240000000003
2022-07-31,3523.2912380952384
2022-08-31,3701.055
2022-09-30,3466.188181818182
2022-10-31,3464.576
2022-11-30,3839.956181818183
2022-12-31,3884.672714285715
2023-01-31,4092.674
2023-02-28,4238.13415
2023-03-31,4201.734956521739
2023-04-30,4358.266888888888
2023-05-31,4319.3204347826095
2023-06-30,4324.439409090909
2023-07-31,4364.50680952381
2023-08-31,4296.843739130433
2023-09-30,4227.227761904763
2023-10-31,4103.952999999999
2023-11-30,4275.040818181819
2023-12-31,4508.592631578948
2024-01-31,4505.776090909091
